,India 
1,75000
1000,75000
1500,110000
1600,135000
1700,165000
1820,209000.013265785
1821,209842.232323243
1822,210687.845318001
1823,211536.865926798
1824,212389.307881488
1825,213245.184969259
1826,214104.51103286
1827,214967.299970822
1828,215833.565737683
1829,216703.322344216
1830,217576.583857653
1831,218453.364401913
1832,219333.678157831
1833,220217.53936339
1834,221104.962313945
1835,221995.961362459
1836,222890.550919735
1837,223788.745454647
1838,224690.559494376
1839,225596.007624641
1840,226505.104489943
1841,227417.864793792
1842,228334.303298952
1843,229254.434827677
1844,230178.27426195
1845,231105.836543727
1846,232037.136675174
1847,232972.189718914
1848,233911.010798266
1849,234853.615097497
1850,235800.017862058
1851,236631.561437448
1852,237466.037432963
1853,238303.456189717
1854,239143.828085294
1855,239987.163533873
1856,240833.472986357
1857,241682.766930507
1858,242535.055891067
1859,243390.350429895
1860,244248.661146099
1861,245109.99867616
1862,245974.373694071
1863,246841.796911467
1864,247712.279077756
1865,248585.830980254
1866,249462.463444317
1867,250342.187333479
1868,251225.013549583
1869,252110.953032915
1870,253000.016762345
1871,253417
1872,253834
1873,254253
1874,254672
1875,255091
1876,255512
1877,255933
1878,256354
1879,256777
1880,257200
1881,259359
1882,261536
1883,263732
1884,265946
1885,268179
1886,270430
1887,272700
1888,274990
1889,277298
1890,279626
1891,280110
1892,280594
1893,281079
1894,281565
1895,282052
1896,282540
1897,283029
1898,283518
1899,284009
1900,284500
1901,286200
1902,288000
1903,289700
1904,291500
1905,293300
1906,295100
1907,296900
1908,298700
1909,300500
1910,302100
1911,303100
1912,303400
1913,303700
1914,304000
1915,304200
1916,304500
1917,304800
1918,305100
1919,305300
1920,305600
1921,307300
1922,310400
1923,313600
1924,316700
1925,319900
1926,323200
1927,326400
1928,329700
1929,333100
1930,336400
1931,341000
1932,345800
1933,350700
1934,355600
1935,360600
1936,365700
1937,370900
1938,376100
1939,381400
1940,386800
1941,391700
1942,396300
1943,400900
1944,405600
1945,410400
1946,415200
1947,346000
1948,350000
1949,355000
1950,359000
1951,365000
1952,372000
1953,379000
1954,386000
1955,393000
1956,401000
1957,409000
1958,418000
1959,426000
1960,434000
1961,444000
1962,454000
1963,464000
1964,474000
1965,485000
1966,495000
1967,506000
1968,518000
1969,529000
1970,541000
1971,554000
1972,567000
1973,580000
1974,593000
1975,607000
1976,620000
1977,634000
1978,648000
1979,664000
1980,679000
1981,692000
1982,708000
1983,723000
1984,739000
1985,755000
1986,771000
1987,788000
1988,805000
1989,822000
1990,839000
1991,853724
1992,869090
1993,884943
1994,901176
1995,917772
1996,934692
1997,951861
1998,969153
1999,986477
2000,1004124
2001,1021967
2002,1039691
2003,1057504
2004,1065070.607
2005,1093563
2006,1111714
2007,1129866
2008,1147996
2009,1156898
