,Kapitsa + World
1,86475.4092441853
,86432.207715725
1000,172690.921846862
,86432.207715725
1500,344345.420108419
,86432.207715725
1600,429574.347754051
,86432.207715725
1700,570459.360059032
,86432.207715725
1820,936699.284267404
1821,941697.981059665
1822,946749.22650967
1823,951853.835897359
1824,957012.641067204
1825,962226.490840303
1826,967496.251438469
1827,972822.806920731
1828,978207.059632623
1829,983649.930668724
1830,989152.360348864
1831,994715.308708453
1832,1000339.75600342
1833,1006026.70323023
1834,1011777.17266153
1835,1017592.20839787
1836,1023472.87693616
1837,1029420.26775527
1838,1035435.4939196
1839,1041519.69270089
1840,1047674.02621928
1841,1053899.68210397
1842,1060197.87417428
1843,1066569.84314188
1844,1073016.85733478
1845,1079540.2134439
1846,1086141.23729309
1847,1092821.28463322
1848,1099581.74196137
1849,1106424.0273659
1850,1113349.59139832
1851,1120359.91797292
1852,1127456.52529513
1853,1134640.96681957
1854,1141914.83223897
1855,1149279.74850489
1856,1156737.38088147
1857,1164289.43403339
1858,1171937.65314913
1859,1179683.82510096
1860,1187529.77964286
1861,1195477.3906477
1862,1203528.57738514
1863,1211685.30584173
1864,1219949.59008458
1865,1228323.49367028
1866,1236809.13110069
1867,1245408.66932715
1868,1254124.32930495
1869,1262958.38759978
1870,1271913.17804811
1871,1280991.09347327
1872,1290194.58745933
1873,1299526.17618476
1874,1308988.440318
1875,1318584.02697718
1876,1328315.6517561
1877,1338186.10081895
1878,1348198.23306609
1879,1358354.98237336
1880,1368659.35990747
1881,1379114.45652008
1882,1389723.44522332
1883,1400489.5837494
1884,1411416.21719723
1885,1422506.78076899
1886,1433764.80259943
1887,1445193.9066813
1888,1456797.81588957
1889,1468580.35510803
1890,1480545.45446119
1891,1492697.15265496
1892,1505039.60042922
1893,1517577.06412588
1894,1530313.92937563
1895,1543254.70490681
1896,1556404.02647986
1897,1569766.66095072
1898,1583347.51046649
1899,1597151.61679678
1900,1611184.16580388
1901,1625450.49205502
1902,1639956.08357971
1903,1654706.58677508
1904,1669707.81146193
1905,1684965.73609399
1906,1700486.51312261
1907,1716276.47451876
1908,1732342.13745396
1909,1748690.21014111
1910,1765327.59783596
1911,1782261.4089991
1912,1799498.96161789
1913,1817047.78968688
1914,1834915.64984439
1915,1853110.52816202
1916,1871640.64708252
1917,1890514.47250056
1918,1909740.72097896
1919,1929328.36709186
1920,1949286.65088414
1921,1969625.08543448
1922,1990353.46450717
1923,2011481.87027531
1924,2033020.68109501
1925,2054980.57930719
1926,2077372.55904012
1927,2100207.93398187
1928,2123498.34508741
1929,2147255.76818065
1930,2171492.5214063
1931,2196221.27248046
1932,2221455.04568287
1933,2247207.22852653
1934,2273491.57803276
1935,2300322.2265315
1936,2327713.6868975
1937,2355680.85712319
1938,2384239.02411797
1939,2413403.86661252
1940,2443191.45703357
1941,2473618.26220139
1942,2504701.14268746
1943,2536457.35065462
1944,2568904.52598476
1945,2602060.69048248
1946,2635944.23992376
1947,2670573.93370013
1948,2705968.88178802
1949,2742148.52875282
1950,2779132.63447533
1951,2816941.25126733
1952,2855594.69702134
1953,2895113.52401867
1954,2935518.48299994
1955,2976830.48208336
1956,3019070.54009979
1957,3062259.7338994
1958,3106419.13917506
1959,3151569.7643419
1960,3197732.47701305
1961,3244927.92261903
1962,3293176.43473445
1963,3342497.93670161
1964,3392911.83417881
1965,3444436.89829225
1966,3497091.13913754
1967,3550891.66946066
1968,3605854.55845119
1969,3661994.67570472
1970,3719325.52555709
1971,3769818.402
1972,3846498.58771536
1973,3922793.35237362
1974,3997676.86980138
1975,4070670.63208062
1976,4141444.86314083
1977,4213538.6494027
1978,4286316.85247518
1979,4363144.27190778
1980,4439528.731
1981,4514837.58488593
1982,4587307.42118161
1983,4676388.37721267
1984,4756521.21250989
1985,4837719.114
1986,4920967.59604797
1987,5006671.58298972
1988,5093306.05140068
1989,5180540.3563216
1990,5269029.228
1991,5351921.72452709
1992,5435721.52127781
1993,5518127.08817819
1994,5599396.18700574
1995,5681574.956
1996,5762211.77388717
1997,5842121.55330021
1998,5921366.35005683
1999,5999621.8541852
2000,6076557.523
2001,6154790.96918813
2002,6231703.94514002
2003,6308364.37705719
2004,6374055.9165775
2005,6462986.555
2006,6540213.86251441
2007,6616689.01143536
2008,6694832.02144162
2009,6764086
