,China 
1821,383711.494276086
1823,389192.511509747
1825,394751.820768442
1827,400390.540392238
1829,406109.804695813
1831,409299.014355672
1833,409897.699042862
1835,410497.259430559
1837,411097.696799658
1839,411699.012432925
1841,412000
1843,412000
1845,412000
1847,412000
1849,412000
1851,408358.527807095
1853,401171.85467743
1855,394111.659304822
1857,387175.715816085
1859,380361.837511016
1861,375055.482118775
1863,371196.48335018
1865,367377.190364345
1867,363597.194622869
1869,359856.091790862
1871,358988
1873,360971
1875,362966
1877,364971
1879,366988
1881,369183
1883,371560
1885,373952
1887,376359
1889,378783
1891,381979
1893,385969
1895,390000
1897,393970
1899,397980
1901,402243
1903,406766
1905,411340
1907,415965
1909,420642
1911,427662
1913,437140
1915,446829
1917,456732
1919,466855
1921,473673
1923,477037
1925,480425
1927,483837
1929,487273
1931,492640
1933,500000
1935,505292
1937,510640
1939,516046
1941,521508
1943,527028
1945,532607
1947,538244
1949,543941
1951,557480
1953,581390
1955,608655
1957,637408
1959,666005
1961,660330
1963,682335
1965,715185
1967,754550
1969,796025
1971,841105
1973,881940
1975,916395
1977,943455
1979,969005
1981,993861
1983,1023288
1985,1051040
1987,1084035
1989,1118650
1991,1150780
1993,1178440
1995,1204855
1997,1230075
1999,1252735
2001,1271850
2003,1288400
2005,1303720
2007,1317885
2009,1331400
