,India ,,
1821,209842.232323243,,
1823,211536.865926798,,
1825,213245.184969259,,
1827,214967.299970822,,
1829,216703.322344216,,
1831,218453.364401913,,
1833,220217.53936339,,
1835,221995.961362459,,
1837,223788.745454647,,
1839,225596.007624641,,
1841,227417.864793792,,
1843,229254.434827677,,
1845,231105.836543727,,
1847,232972.189718914,,
1849,234853.615097497,,
1851,236631.561437448,,
1853,238303.456189717,,
1855,239987.163533873,,
1857,241682.766930507,,
1859,243390.350429895,,
1861,245109.99867616,,
1863,246841.796911467,,
1865,248585.830980254,,
1867,250342.187333479,,
1869,252110.953032915,,
1871,253417,,
1873,254253,,
1875,255091,,
1877,255933,,
1879,256777,,
1881,259359,,
1883,263732,,
1885,268179,,
1887,272700,,
1889,277298,,
1891,280110,,
1893,281079,,
1895,282052,,
1897,283029,,
1899,284009,,
1901,286200,,
1903,289700,,
1905,293300,,
1907,296900,,
1909,300500,,
1911,303100,,
1913,303700,,
1915,304200,,
1917,304800,,
1919,305300,,
1921,307300,,
1923,313600,,
1925,319900,,
1927,326400,,
1929,333100,,
1931,341000,,
1933,350700,,
1935,360600,,
1937,370900,,
1939,381400,,
1941,391700,,
1943,400900,,
1945,410400,,
1947,415200,346000,69200
1949,424200,355000,
1951,434200,365000,
1953,448200,379000,
1955,462200,393000,
1957,478200,409000,
1959,495200,426000,
1961,513200,444000,
1963,533200,464000,
1965,554200,485000,
1967,575200,506000,
1969,598200,529000,
1971,623200,554000,
1973,649200,580000,
1975,676200,607000,
1977,703200,634000,
1979,733200,664000,
1981,761200,692000,
1983,792200,723000,
1985,824200,755000,
1987,857200,788000,
1989,891200,822000,
1991,922924,853724,
1993,954143,884943,
1995,986972,917772,
1997,1021061,951861,
1999,1055677,986477,
2001,1091167,1021967,
2003,1126704,1057504,
2005,1162763,1093563,
2007,1199066,1129866,
2009,1226098,1156898,
