,Japan 
1821,31032.8243540367
1823,31098.5773671264
1825,31164.4696991088
1827,31230.5016451759
1829,31296.673501145
1831,31362.9855634603
1833,31429.4381291938
1835,31496.0314960473
1837,31562.7659623531
1839,31629.6418270759
1841,31696.6593898137
1843,31763.8189507991
1845,31831.1208109012
1847,31898.5652716263
1849,31966.1526351198
1851,32117.6488046947
1853,32354.2456206907
1855,32592.5853430145
1857,32832.6808109028
1859,33074.544958173
1861,33318.1908139205
1863,33563.6315032205
1865,33810.8802478348
1867,34059.9503669243
1869,34310.8552777662
1871,34648
1873,35070
1875,35436
1877,36018
1879,36557
1881,37112
1883,37766
1885,38427
1887,38866
1889,39688
1891,40380
1893,41001
1895,41775
1897,42643
1899,43626
1901,44662
1903,45841
1905,46829
1907,47691
1909,48869
1911,50215
1913,51672
1915,53124
1917,54437
1919,55253
1921,56490
1923,57937
1925,59522
1927,61430
1929,63244
1931,65205
1933,67182
1935,69238
1937,71278
1939,72364
1941,74005
1943,76005
1945,76224
1947,78119
1949,81971
1951,85163.848
1953,87655.163
1955,89815.06
1957,91563.009
1959,93296.566
1961,94943.293
1963,96811.94
1965,98882.534
1967,100825.279
1969,103171.831
1971,105696.786
1973,108706.797
1975,111573.116
1977,113872.473
1979,115890.431
1981,117648.092
1983,119269.949
1985,120754.335
1987,122091.325
1989,123107.5
1991,123946.268
1993,124668.019
1995,125341.354
1997,125956.499
1999,126494.403
2001,126972
2003,127358
2005,127537
2007,127433
2009,127079
