,China 
1820,381000
1821,383711.494276086
1822,386442.285668206
1823,389192.511509747
1824,391962.310111464
1825,394751.820768442
1826,397561.183767098
1827,400390.540392238
1828,403240.032934161
1829,406109.804695813
1830,409000
1831,409299.014355672
1832,409598.247316686
1833,409897.699042862
1834,410197.369694135
1835,410497.259430559
1836,410797.368412305
1837,411097.696799658
1838,411398.244753024
1839,411699.012432925
1840,412000
1841,412000
1842,412000
1843,412000
1844,412000
1845,412000
1846,412000
1847,412000
1848,412000
1849,412000
1850,412000
1851,408358.527807095
1852,404749.240856258
1853,401171.85467743
1854,397626.087314847
1855,394111.659304822
1856,390628.29365371
1857,387175.715816085
1858,383753.653673094
1859,380361.837511016
1860,377000
1861,375055.482118775
1862,373120.993812591
1863,371196.48335018
1864,369281.899267097
1865,367377.190364345
1866,365482.305707004
1867,363597.194622869
1868,361721.806701099
1869,359856.091790862
1870,358000
1871,358988
1872,359978
1873,360971
1874,361967
1875,362966
1876,363967
1877,364971
1878,365978
1879,366988
1880,368000
1881,369183
1882,370369
1883,371560
1884,372754
1885,373952
1886,375154
1887,376359
1888,377569
1889,378783
1890,380000
1891,381979
1892,383969
1893,385969
1894,387979
1895,390000
1896,391980
1897,393970
1898,395970
1899,397980
1900,400000
1901,402243
1902,404498
1903,406766
1904,409047
1905,411340
1906,413646
1907,415965
1908,418297
1909,420642
1910,423000
1911,427662
1912,432375
1913,437140
1914,441958
1915,446829
1916,451753
1917,456732
1918,461766
1919,466855
1920,472000
1921,473673
1922,475352
1923,477037
1924,478728
1925,480425
1926,482128
1927,483837
1928,485552
1929,487273
1930,489000
1931,492640
1932,496307
1933,500000
1934,502639
1935,505292
1936,507959
1937,510640
1938,513336
1939,516046
1940,518770
1941,521508
1942,524261
1943,527028
1944,529810
1945,532607
1946,535418
1947,538244
1948,541085
1949,543941
1950,546815
1951,557480
1952,568910
1953,581390
1954,595310
1955,608655
1956,621465
1957,637408
1958,653235
1959,666005
1960,667070
1961,660330
1962,665770
1963,682335
1964,698355
1965,715185
1966,735400
1967,754550
1968,774510
1969,796025
1970,818315
1971,841105
1972,862030
1973,881940
1974,900350
1975,916395
1976,930685
1977,943455
1978,956165
1979,969005
1980,981235
1981,993861
1982,1000281
1983,1023288
1984,1036825
1985,1051040
1986,1066790
1987,1084035
1988,1101630
1989,1118650
1990,1135185
1991,1150780
1992,1164970
1993,1178440
1994,1191835
1995,1204855
1996,1217550
1997,1230075
1998,1241935
1999,1252735
2000,1262645
2001,1271850
2002,1280400
2003,1288400
2004,1296075
2005,1303720
2006,1311020
2007,1317885
2008,1324786
2009,1331400
